VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,NUR,CLASS TIME TABLE ,,,,,,,,CT:,SUVARCHALA DEVI_SD,,
PERIODS,ASSM,0,1,2,BREAK,3,4,5,,6,7,8,
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Eng-Prac,BREAK,Eng-CW,EVS,EVS,,,,,
TUESDAY,,CircleT,CircleT,Math-prac,,Games,EVS,EVS,,,,,
WEDNESDAY,,Assembly,Assembly,Music,,Eng-Prac,Eng-CW,Math-Prac,,,,,
THURSDAY,,CircleT,CircleT,Games,,Math-Prac,Math-CW,EVS,,,,,
FRIDAY,,CircleT,CircleT,Eng-Prac,,Eng-CW,EVS,EVS/Pool,,,,,
SATURDAY,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,PP1,CLASS TIME TABLE ,,,,,,,,CT:,PILLA LALIMA_PL,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Games,BREAK,Eng-Prac,Eng-CW,EVS-Prac,LUNCH,NAP TIME/ ACTIVITIES,A&C,Dance,DIARY PERIOD
TUESDAY,,CircleT,CircleT,Math-Prac,,Math-CW,EVS-Act,EVS-CW,,,Eng-Act,Con/Rhym,
WEDNESDAY,,Assembly,Assembly,Music,,Eng-Prac,Eng-CW,EVS-CW,,,Games,Math-Act,
THURSDAY,,CircleT,CircleT,Math-Prac,,Math-CW,Eng-CW,EVS-Prac,,,A&C,Con/Rhym,
FRIDAY,,CircleT,CircleT,Eng-Prac,,Eng-CW,EVS-Act,EVS-CW/Pool,,,Math-Act,Math-CW,
SATURDAY,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,PP2,CLASS TIME TABLE ,,,,,,,,CT:,ANURADHA DUTTA_AD,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Eng-Prac,BREAK,Eng-CW,Games,Math-Prac,LUNCH,Math-CW,EVS,Dance,DIARY PERIOD
TUESDAY,,CircleT,CircleT,EVS,,A&C,Math-Prac,Math-CW,,Eng-Prac,Eng-CW,Revision,
WEDNESDAY,,Assembly,Assembly,Music,,Eng-Prac,Eng-CW,EVS,,2nd Lang,A&C,Revision,
THURSDAY,,CircleT,CircleT,Math-Prac,,Math-CW,Games,Eng-Prac,,Eng-CW,EVS,Revision,
FRIDAY,,CircleT,CircleT,Karate,,Eng-Prac,Eng-CW,EVS/Pool,,2nd Lang,Math-Prac,Math-CW,
SATURDAY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,I,CLASS TIME TABLE ,,,,,,,,CT:,MARY BINDISREE_BS,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Dance,BREAK,Eng-Prac,Eng-CW,EVS-Act,LUNCH,2nd Lang,Comp,EVS-CW,DIARY PERIOD
TUESDAY,,Math-Prac,Math-CW,Comp,,EVS-Prac,Games,EVS-CW,,2nd Lang,Eng-Act,Eng-CW,
WEDNESDAY,,Assembly,Assembly,Eng-Prac,,Music,Math-Act,LIB,,3rd Lang,EVS-Act,EVS-CW,
THURSDAY,,CircleT,CircleT,Math-Prac,,Eng-Prac,Eng-CW,A&C,,2nd Lang,Games,EVS-CW,
FRIDAY,,CircleT,CircleT,Karate,,Math-Prac,Math-Act,EVS-Act,,3rd Land,EVS/Pool Time,,
SATURDAY,,Assembly,Assembly,Math-Prac,,A&C,Eng-CW,EVS-Act,,ACTIVITIES,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,II,CLASS TIME TABLE ,,,,,,,,CT:,DIVYAVANI_DV,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Dance,BREAK,Eng-Act,Eng-CW,LIB,LUNCH,Math-Act,EVS-Act,EVS-CW,DIARY PERIOD
TUESDAY,,Math-Prac,Math-CW,EVS-Act,,EVS-CW,Eng-Prac,A&C,,Eng-Act,Comp,2nd Lang,
WEDNESDAY,,Assembly,Assembly,Math-Act,,Math-CW,Music,Games,,EVS-CW,3rd Lang,2nd Lang,
THURSDAY,,CircleT,CircleT,Eng-CW,,Math-Act,Math-Cw,Games,,EVS-CW,3rd Lang,2nd Lang,
