,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
SUBJECT:,MATHS,TEACHER'S TIME TABLE ,,,,,,,,NAME:,VAMSE DEVATHOTI_VD,,
PERIODS,ASSEMBLY,0,1,2,BREAK,3,4,5,LUNCH,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,,5,6,BREAK,,4,,LUNCH,3,7,6,DIARY PERIOD
TUESDAY,,7,5,,,6,5,,,4,3,7,
WEDNESDAY,,Assembly,7,4,,5,7,,,6,3,3,
THURSDAY,,,7,6,,,5,,,3,5,4,
FRIDAY,,,,5,,,6,4,,4,7,3,
SATURDAY,,Assembly,7,6,,5,4,3,,7,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
SUBJECT:,SCIENCE,TEACHER'S TIME TABLE ,,,,,,,,NAME:,SAHITHI_SG,,
PERIODS,ASSEMBLY,0,1,2,BREAK,3,4,5,LUNCH,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,"4,5",7,3,BREAK,6,,,LUNCH,4,5,7,DIARY PERIOD
TUESDAY,,,4,4,,7,3,6,,3,5,,
WEDNESDAY,,Assembly,5,6,,3,,7,,,4,5,
THURSDAY,,"4,5",5,3,,6,,4,,6,7,,
FRIDAY,,"4,5",,7,,,,6,,3,5,4,
SATURDAY,,Assembly,5,7,,6,3,4,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
SUBJECT:,SOCIAL,TEACHER'S TIME TABLE ,,,,,,,,NAME:,ESTHER RANI_ER,,
PERIODS,ASSEMBLY,0,1,2,BREAK,3,4,5,LUNCH,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,3,3,4,BREAK,,,7,LUNCH,,6,5,DIARY PERIOD
TUESDAY,,3,7,7,,5,,3,,6,,4,
WEDNESDAY,,Assembly,3,,,,4,,,7,5,6,
THURSDAY,,3,3,7,,,6,,,4,,5,
FRIDAY,,3,,4,,,5,7,,6,3,,
SATURDAY,,Assembly,3,4,,7,5,6,,3,,3,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
SUBJECT:,ENGLISH,TEACHER'S TIME TABLE ,,,,,,,,NAME:,JEEVANA JYOTHI_JJ,,
PERIODS,ASSEMBLY,0,1,2,BREAK,3,4,5,LUNCH,6,7,8,DIARY P
